Run	Coalescent time	First ascertained	First unascertained	First hospitalized	infections
0001	0.016277	0.003101	0.018548	0.038307	3
0002	0.005622	0.006627	0.010041	0.040509	4
0003	0.083296	0.14025	0.003543	0.171861	6
0004	0.000147	0.037868	0.001009	0.097504	2
0005	0.033682000000000004	0.05074	0.003157	0.081599	5
0006	0.021388	0.052906	0.002526	0.06922	4
0007	0.020008	0.046832	0.019162	0.060621	3
0008	0.006213	0.006223	0.003388	0.065403	3
0009	0.007114	0.014484	0.01213	0.079045	4
0010	0.05403000000000001	0.092656	0.001068	0.110497	10
0011	0.00099	0.010052	0.0132	0.039982	1
0012	0.007561	0.016343	0.000636	0.051925	3
0013	0.000149	0.000869	0.012738	0.033718	2
0014	0.005236	0.02647	0.005104	0.052059	2
0015	0.005279000000000001	0.038566	0.014352	0.048152	2
0016	0.029092	0.002759	0.004494	0.099728	8
0017	0.00154	0.000195	0.025162	0.034565	1
0018	0.032631999999999994	0.045646	0.006649	0.060528	13
0019	0.039536999999999996	0.026561	0.006649	0.076536	9
0020	0.032622000000000005	0.064756	0.025306	0.080154	8
0021	0.014157	0.028792	0.009292	0.043102	2
0022	0.018938	0.029225	0.01124	0.033789	4
0023	0.037466	0.048549	0.000908	0.088676	5
0024	0.032181999999999995	0.043771	0.001776	0.08962	8
0025	0.00543	0.00114	0.011865	0.035284	2
0026	0.038571999999999995	0.050986	0.0061	0.091058	2
0027	0.12172000000000001	0.048819	0.010539	0.068388	22
0028	0.000956	0.033514	0.008494	0.07074	1
0029	0.028587	0.029185	0.000451	0.045385	4
0030	0.07816100000000001	0.004128	0.032413	0.032777	21
0031	0.04572999999999999	0.003359	0.012667	0.063092	10
0032	0.01012	0.029459	0.00415	0.041198	2
0033	0.015716	0.030169	0.00737	0.036388	4
0034	0.025812	0.037589	0.002903	0.047769	4
0035	0.001034	0.005381	0.024554	0.031062	1
0036	0.04885	0.08481	0.002969	0.110927	3
0037	0.000185	0.052019	0.001095	0.087603	1
0038	0.002671	0.016626	0.028164	0.056864	1
0039	0.007895	0.009313	0.026548	0.037543	1
0040	0.00876	0.002874	0.017071	0.033811	7
0041	0.065084	0.036413	0.005416	0.093271	20
0042	0.024042	0.021507	0.015015	0.127372	3
0043	0.044614999999999995	0.04205	0.009132	0.074427	5
0044	0.007521	0.013277	0.016862	0.04759	2
0045	0.015646	0.049366	0.007449	0.0598	3
0046	0.021292000000000002	0.044649	0.004047	0.075615	2
0047	0.034997999999999994	0.007204	0.041687	0.040301	3
0048	0.000186	0.010452	0.005482	0.03642	2
0049	0.012284	0.093395	0.002303	0.100332	2
0050	0.069921	0.041809	0.00884	0.088707	7
0051	0.084971	0.017876	0.025142	0.045128	9
0052	0.003492	0.041992	0.008146	0.059855	6
0053	0.010477	0.022618	0.021163	0.053874	3
0054	0.0092	0.030316	0.010399	0.05103	3
0055	0.031798	0.056012	0.024455	0.07509	2
0056	0.035802	0.003851	0.034563	0.101338	7
0057	0.002065	0.030586	0.014031	0.070707	1
0058	0.0062510000000000005	0.018806	0.008369	0.071627	2
0059	0.000318	0.005788	0.014266	0.06001	1
0060	0.046268000000000004	0.074645	0.002031	0.084116	8
0061	0.061498000000000004	0.109655	0.001375	0.138244	10
0062	0.014919	0.018897	0.005956	0.035871	4
0063	0.000221	0.016316	0.004961	0.051632	1
0064	0.0	0.001808	0.008491	0.040082	1
0065	0.02664	0.007541	0.030649	0.026558	6
0066	0.0	0.020583	0.003128	0.055988	1
0067	0.058316	0.047615	0.003588	0.064221	18
0068	0.011818999999999998	0.048341	0.011386	0.055417	3
0069	0.0021799999999999996	0.011093	0.062806	0.083379	1
0070	0.13422499999999998	0.029553	0.005077	0.039192	11
0071	0.004621	0.02205	0.000245	0.039627	2
0072	0.010456	0.019688	0.023155	0.060371	2
0073	0.0033480000000000003	0.001386	0.019366	0.041414	2
0074	0.018748	0.011401	0.030797	0.027597	2
0075	0.042609	0.092652	0.006688	0.100815	5
0076	0.001396	0.050239	0.000983	0.064002	1
0077	0.083753	0.056469	0.000232	0.099019	21
0078	0.010102	0.006945	0.014244	0.084271	3
0079	0.0015439999999999998	0.009507	0.004741	0.035231	2
0080	0.007641	0.050917	0.012896	0.076404	1
